TRDATE,REGION,STATE_NAME,MODE_OF_TRANSPORT,STATION_NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE_STOCKS_REQUIRED_IN_DAYS,DAILY_REQUIREMENT,ACTUAL_STOCK_IMPORT,ACTUAL_STOCK_INDIGENOUS,ACTUAL_STOCK_TOTAL,ACTUAL_STOCK_DAYS,CRITICAL,SUPERCRITICAL,REMARKS
15-Feb-17,EASTERN,WEST BENGAL,PITHEAD,FARAKKA STPS,NTPC LIMITED.,CENTRAL,2100,15,32,71,330,401,12,NULL,NULL,NA
15-Feb-17,EASTERN,WEST BENGAL,RAIL,DURGAPUR STEEL TPS,DAMODAR VALLEY CORPORATION,CENTRAL,1000,20,15,0,270,270,18,NULL,NULL,NA
15-Feb-17,EASTERN,WEST BENGAL,RAIL,HALDIA TPP,HALDIA ENERGY LTD.,IPP,600,20,8,42,148,190,24,NULL,NULL,NA
15-Feb-17,EASTERN,WEST BENGAL,RAIL,RAGHUNATHPUR TPP,DAMODAR VALLEY CORPORATION,CENTRAL,0,20,6,0,101,101,16,NULL,NULL,NA
15-Feb-17,NORTH EASTERN,ASSAM,RAIL,BONGAIGAON TPP,NTPC LIMITED.,CENTRAL,0,20,3,0,72,72,25,NULL,NULL,NA
16-Feb-17,NORTHERN,DELHI,RAIL,RAJGHAT TPS,INDRAPRASTHA POWER GENERATION COMPANY LIMITED,STATE,135,25,0,0,11,11,313,NULL,NULL,NA
16-Feb-17,NORTHERN,DELHI,RAIL,BADARPUR TPS,NTPC LIMITED.,CENTRAL,705,30,5,0,112,112,23,NULL,NULL,NA
16-Feb-17,NORTHERN,HARYANA,RAIL,PANIPAT TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,920,25,8,0,268,268,35,NULL,NULL,NA
16-Feb-17,NORTHERN,HARYANA,RAIL,RAJIV GANDHI TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,1200,25,13,0,277,277,21,NULL,NULL,NA
16-Feb-17,NORTHERN,HARYANA,RAIL,YAMUNA NAGAR TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,600,25,8,0,327,327,39,NULL,NULL,NA
16-Feb-17,NORTHERN,HARYANA,RAIL,INDIRA GANDHI STPP,ARAVALI POWER COMPANY PRIVATE LIMITED,CENTRAL,1500,25,11,0,261,261,25,NULL,NULL,NA
16-Feb-17,NORTHERN,HARYANA,RAIL,MAHATMA GANDHI TPS,JHAJJAR POWER LTD.,IPP,1320,25,8,0,461,461,56,NULL,NULL,NA
16-Feb-17,NORTHERN,PUNJAB,RAIL,GH TPS (LEH.MOH.),PUNJAB STATE POWER CORP. LTD.,STATE,920,30,6,0,248,248,42,NULL,NULL,NA
16-Feb-17,NORTHERN,PUNJAB,RAIL,ROPAR TPS,PUNJAB STATE POWER CORP. LTD.,STATE,1260,25,10,0,415,415,43,NULL,NULL,NA
16-Feb-17,NORTHERN,PUNJAB,RAIL,GND TPS(BHATINDA),PUNJAB STATE POWER CORP. LTD.,STATE,440,30,3,0,31,31,10,NULL,NULL,NA
16-Feb-17,NORTHERN,PUNJAB,RAIL,RAJPURA TPP,NABHA POWER LTD.,IPP,1400,30,16,0,171,171,11,NULL,NULL,NA
16-Feb-17,NORTHERN,PUNJAB,RAIL,TALWANDI SABO TPP,Talwandi Sabo Power Limited,IPP,1980,25,16,0,73,73,5,CRITICAL,NULL,NA
16-Feb-17,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1240,30,18,0,362,362,20,NULL,NULL,NA
16-Feb-17,NORTHERN,RAJASTHAN,RAIL,SURATGARH TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1500,30,10,0,370,370,37,NULL,NULL,NA
16-Feb-17,NORTHERN,RAJASTHAN,RAIL,CHHABRA TPP,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,3320,30,14,0,42,42,3,CRITICAL,SUPERCRITICAL,Coal Sup.for new unit yet to c
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,ANPARA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,2630,15,43,0,664,664,15,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,HARDUAGANJ TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,665,25,9,0,251,251,28,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,PANKI TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,210,20,4,0,149,149,39,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,PARICHHA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1140,30,9,0,321,321,37,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,DADRI (NCTPP),NTPC LIMITED.,CENTRAL,1820,30,12,0,246,246,20,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,PITHEAD,RIHAND STPS,NTPC LIMITED.,CENTRAL,3000,15,43,0,965,965,22,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,PITHEAD,SINGRAULI STPS,NTPC LIMITED.,CENTRAL,2000,15,35,0,640,640,18,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,TANDA TPS,NTPC LIMITED.,CENTRAL,440,25,7,0,219,219,30,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,UNCHAHAR TPS,NTPC LIMITED.,CENTRAL,1550,25,16,0,497,497,32,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,ROSA TPP Ph-I,ROSSA POWER SUPPLY CO. LTD.,IPP,1200,25,17,35,289,324,19,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,PITHEAD,ANPARA C TPS,LANCO ANPARA POWER PVT. LTD.,IPP,1200,15,10,0,280,280,28,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,OBRA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1278,20,12,0,302,302,25,NULL,NULL,NA
16-Feb-17,NORTHERN,UTTAR PRADESH,RAIL,PRAYAGRAJ TPP,Prayagraj Power Generation Company limited,IPP,0,20,16,0,102,102,7,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,DSPM TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,500,15,9,0,97,97,11,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,PITHEAD,KORBA-II,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,200,15,7,0,27,27,4,CRITICAL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,PITHEAD,KORBA-WEST TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,1340,15,23,0,268,268,12,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,PITHEAD,KORBA STPS,NTPC LIMITED.,CENTRAL,2600,15,43,0,480,480,11,NULL,NULL,NA
