"Date","Region","Station Name","Mode of Transport","Station Name","Utility","Sector","Capacity","Normative Stocks Required (In Days)","Daily Requirement","Actual Stock - Import","Actual Stock - Indigenous","Actual Stock - Total","Actual Stock - Days","Critical","Super Critical","Remarks"
2012-11-01,"NORTHERN","DELHI","RAIL","RAJGHAT TPS","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",135,20,2.3,0,13.78,13.78,6,"Critical",NA,"Coal Supp. regulated by TPS"
2012-11-01,"NORTHERN","DELHI","RAIL","BADARPUR TPS","NTPC LIMITED.","CENTRAL",705,30,12.1,0,118.66,118.66,10,NA,NA,NA
2012-11-01,"NORTHERN","HARYANA","RAIL","PANIPAT TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1360,25,21.7,0,67.49,67.49,3,"Critical","Super Critical","Less Receipt"
2012-11-01,"NORTHERN","HARYANA","RAIL","YAMUNA NAGAR TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",600,25,8.1,0,289.52,289.52,36,NA,NA,NA
2012-11-01,"NORTHERN","HARYANA","RAIL","INDIRA GANDHI STPP","ARAVALI POWER COMPANY PRIVATE LIMITED","CENTRAL",1500,25,17.3,1.5,50.44,51.94,3,"Critical","Super Critical","Less Receipt"
2012-11-01,"NORTHERN","HARYANA","RAIL","MAHATMA GANDHI TPS","JHAJJAR POWER LTD.","IPP",1320,25,19.1,0,28.77,28.77,2,"Critical","Super Critical","Less Receipt"
2012-11-01,"NORTHERN","HARYANA","RAIL","RAJIV GANDHI TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1200,25,18.8,3.86,71.56,75.42,4,"Critical",NA,"Less Receipt"
2012-11-01,"NORTHERN","PUNJAB","RAIL","GH TPS (LEH.MOH.)","PUNJAB STATE POWER CORP. LTD.","STATE",920,30,13,0,230.85,230.85,18,NA,NA,NA
2012-11-01,"NORTHERN","PUNJAB","RAIL","ROPAR TPS","PUNJAB STATE POWER CORP. LTD.","STATE",1260,25,19.6,0,281.93,281.93,14,NA,NA,NA
2012-11-01,"NORTHERN","PUNJAB","RAIL","GND TPS(BHATINDA)","PUNJAB STATE POWER CORP. LTD.","STATE",440,30,5.2,0,84.53,84.53,16,NA,NA,NA
