"Date","Region","Station Name","Mode of Transport","Station Name","Utility","Sector","Capacity","Normative Stocks Required (In Days)","Daily Requirement","Actual Stock - Import","Actual Stock - Indigenous","Actual Stock - Total","Actual Stock - Days","Critical","Super Critical","Remarks"
2011-05-01,"NORTHERN","DELHI","RAIL","RAJGHAT TPS","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",135,20,2.5,0,10.12,10.12,4,"Critical",NA,"Less Receipt"
2011-05-01,"NORTHERN","DELHI","RAIL","BADARPUR TPS","NTPC LIMITED.","CENTRAL",705,30,12.3,0,217.73,217.73,18,NA,NA,NA
2011-05-01,"NORTHERN","HARYANA","RAIL","PANIPAT TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1360,25,21,0.5,171.87,172.37,8,NA,NA,NA
2011-05-01,"NORTHERN","HARYANA","RAIL","YAMUNA NAGAR TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",600,25,7.8,0,146.15,146.15,19,NA,NA,NA
2011-05-01,"NORTHERN","HARYANA","RAIL","RAJIV GANDHI TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1200,25,15.7,8.21,187.85,196.07,13,NA,NA,NA
2011-05-01,"NORTHERN","HARYANA","RAIL","INDIRA GANDHI STPP","ARAVALI POWER COMPANY PRIVATE LIMITED","CENTRAL",1500,25,6.7,27.04,158.36,185.4,28,NA,NA,NA
2011-05-01,"NORTHERN","PUNJAB","RAIL","GH TPS (LEH.MOH.)","PUNJAB STATE POWER CORP. LTD.","STATE",920,30,12.6,0,244.28,244.28,19,NA,NA,NA
2011-05-01,"NORTHERN","PUNJAB","RAIL","ROPAR TPS","PUNJAB STATE POWER CORP. LTD.","STATE",1260,25,19.6,0,449.95,449.95,23,NA,NA,NA
2011-05-01,"NORTHERN","PUNJAB","RAIL","GND TPS(BHATINDA)","PUNJAB STATE POWER CORP. LTD.","STATE",440,30,5,0,147.45,147.45,29,NA,NA,NA
2011-05-01,"NORTHERN","RAJASTHAN","RAIL","KOTA TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1240,30,20.1,0,63.45,63.45,3,"Critical","Super Critical","Less import"
2011-05-01,"NORTHERN","RAJASTHAN","RAIL","SURATGARH TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1500,30,20.1,163.56,74.64,238.2,12,NA,NA,NA
2011-05-01,"NORTHERN","RAJASTHAN","RAIL","CHHABRA TPP","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",750,30,6.2,0,191.83,191.83,31,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","PITHEAD","ANPARA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1630,15,24.6,0,366.54,366.54,15,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","HARDUAGANJ TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",665,25,2.7,0,95.32,95.32,36,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","OBRA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1278,20,13.4,0,267.55,267.55,20,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","PANKI TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",210,30,3.4,0,104.78,104.78,31,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","PARICHHA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1140,30,8.9,0,283.68,283.68,32,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","DADRI (NCTPP)","NTPC LIMITED.","CENTRAL",1820,30,25.7,0,138.8,138.8,5,"Critical",NA,"Less Receipt"
2011-05-01,"NORTHERN","UTTAR PRADESH","PITHEAD","RIHAND STPS","NTPC LIMITED.","CENTRAL",3000,15,31,0,670.88,670.88,22,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","PITHEAD","SINGRAULI STPS","NTPC LIMITED.","CENTRAL",2000,15,31.6,0,739.91,739.91,23,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","TANDA TPS","NTPC LIMITED.","CENTRAL",440,25,7.6,0,293.93,293.93,39,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","UNCHAHAR TPS","NTPC LIMITED.","CENTRAL",1050,25,17.1,0,557.84,557.84,33,NA,NA,NA
2011-05-01,"NORTHERN","UTTAR PRADESH","RAIL","ROSA TPP Ph-I","ROSSA POWER SUPPLY CO. LTD.","IPP",1200,25,8.4,11.78,24.21,35.98,4,"Critical",NA,"No import"
2011-05-01,"WESTERN","CHHATTISGARH","RAIL","DSPM TPS","CHHATTISGARH STATE POWER GENERATION CO. LTD.","STATE",500,15,8.4,0,105.14,105.14,13,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","PITHEAD","KORBA-II","CHHATTISGARH STATE POWER GENERATION CO. LTD.","STATE",440,15,8.4,0,154.49,154.49,18,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","PITHEAD","KORBA-WEST TPS","CHHATTISGARH STATE POWER GENERATION CO. LTD.","STATE",1340,15,14,0,453.01,453.01,32,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","PITHEAD","KORBA STPS","NTPC LIMITED.","CENTRAL",2600,15,36.4,0,504.07,504.07,14,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","PITHEAD","SIPAT STPS","NTPC LIMITED.","CENTRAL",2980,20,16.8,0,648.49,648.49,39,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","RAIL","PATHADI TPP","LANCO AMARKANTAK POWER PVT. LTD.","IPP",600,15,8.4,0,154.31,154.31,18,NA,NA,NA
2011-05-01,"WESTERN","CHHATTISGARH","RAIL","BHILAI TPS","NTPC-SAIL POWER  CO. PVT. LTD.","CENTRAL",500,25,7.6,0,70.63,70.63,9,NA,NA,NA
2011-05-01,"WESTERN","GUJARAT","RAIL","GANDHI NAGAR TPS","GUJARAT STATE ELECTRICITY CORPORATION LIMITED","STATE",870,30,13.7,0.61,55.28,55.89,4,"Critical",NA,"Less Receipt"
2011-05-01,"WESTERN","GUJARAT","RAIL","UKAI TPS","GUJARAT STATE ELECTRICITY CORPORATION LIMITED","STATE",1350,30,11.7,0,13.38,13.38,1,"Critical","Super Critical","Higher Generation"
2011-05-01,"WESTERN","GUJARAT","RAIL","SIKKA REP. TPS","GUJARAT STATE ELECTRICITY CORPORATION LIMITED","STATE",240,30,3.7,0,20.94,20.94,6,"Critical",NA,"Less Receipt"
